row_id,country_code,year,agricultural_land_area,percentage_of_arable_land_equipped_for_irrigation,cereal_yield,droughts_floods_extreme_temps,forest_area,total_land_area,fertility_rate,life_expectancy,rural_population,total_population,urban_population,population_growth,avg_value_of_food_production,cereal_import_dependency_ratio,food_imports_as_share_of_merch_exports,gross_domestic_product_per_capita_ppp,imports_of_goods_and_services,inequality_index,net_oda_received_percent_gni,net_oda_received_per_capita,tax_revenue_share_gdp,trade_in_services,per_capita_food_production_variability,per_capita_food_supply_variability,adult_literacy_rate,school_enrollment_rate_female,school_enrollment_rate_total,avg_supply_of_protein_of_animal_origin,caloric_energy_from_cereals_roots_tubers,access_to_improved_sanitation,access_to_improved_water_sources,anemia_prevalence,obesity_prevalence,open_defecation,hiv_incidence,rail_lines_density,access_to_electricity,co2_emissions,unemployment_rate,total_labor_force,military_expenditure_share_gdp,proportion_of_seats_held_by_women_in_gov,political_stability
0,889f053,2002,235077.6581282176,38.55852049467958,935.7543654054945,,5397.7375442359225,537408.3125130708,5.928981318478956,60.4522265580746,13540870.672374753,18899505.082895294,5086452.5147949355,2.8649311465378458,60.89133599569552,78.4527542442611,22.080539155747914,3969.5191059971357,38.351803698803934,,2.233562403439045,11.658978590195064,,,1.9680900150545326,15.693491622674264,,,,11.024062290906883,64.1295710918262,43.28650230495247,57.93280089558091,59.061443222089956,8.293939667925411,28.933529456005164,0.009975075212067027,,52.433239249991075,15485.148165150402,14.788019592540206,4350520.541199505,7.021072230652534,0.6981534888596405,-1.393800540556856
1,9e614ab,2012,23000.64073781932,21.282630918547802,4031.4521614537957,,178336.52991248918,232013.63167600657,3.0006291292272227,64.6554185031485,4070196.560384904,6447522.544995965,2267000.3416379998,1.2998841236724892,266.06599864950715,-5.250877565232703,8.897987592369185,4527.2580445661215,60.28189928779464,36.53777761590683,4.35131473167882,63.833275192737915,13.494452437368404,8.929963050119515,4.925827280813267,26.481297310780658,,92.71127927470502,96.39250668108625,14.046163643057447,68.28570743405264,63.51321964946754,71.12073748407362,36.90108386789634,2.4833034310700093,29.665788568895028,0.029840320420363522,,77.71557378319665,1696.458184011636,0.6870183314940544,3262614.2006316157,0.19883148673195175,25.101825726828437,0.030556260165795664
2,100c476,2000,90.95486730896602,4.317079666910816,1581.9352780598024,,101.78056637276877,445.0371368607274,2.3018601505088667,74.3478058972415,56894.353226401196,83777.29085461116,26767.564582026047,2.1500289000876913,111.63356017007747,88.04959609514806,58.90612874344558,18513.52451267202,59.98517408025756,,1.2823967624649821,119.61058937636425,12.521850250042943,69.94727080519228,2.1798716356105197,15.705756653196321,,,,47.20330826013934,28.110749687518727,85.82071229373945,97.58732414902944,27.242817604615503,18.726448190550084,1.3316208036031438,,,91.15098076309948,338.795190588203,,,,5.395412855009873,0.651586201121726
3,4609682,2013,100843.66121200587,16.636617995996076,1127.62636402813,,10348.866929392227,154616.14818819732,2.199311032322408,74.69840464965007,3743950.4386871397,11201673.381032318,7282983.05462433,1.1857086422995342,334.2529602057892,,,10710.266707275832,57.60844878925909,,1.6282413562815516,64.96652465753128,,17.270455861481643,15.789067019149103,16.191112330191007,,,99.83705744932676,,,92.27431462913827,95.61151491494364,29.076918530514472,23.218547697982387,1.5491911718625877,0.010186128086097037,1.2770955200769054,99.03040254376131,27377.802600365267,15.948356165896142,3979141.3836252913,1.6263048610041277,26.73595118656511,-0.9287876706095777
4,be2a7f5,2008,224.28935697699728,,1418.9872118305327,,460.1134238720101,740.295658594641,,,22894.378205360837,70708.04037316435,47348.29873528644,0.17357142783044743,365.2141424991013,101.25683506821865,76.15410290878411,10416.098948407769,62.70997301178443,,4.900720760098315,296.2482561530296,24.35886504833981,40.2274189521837,23.771783066552157,55.06703510417353,,88.23129768084331,88.08236743544727,51.58600994483377,34.32663506272193,,,25.00884628289115,20.010812216577104,7.564733497745669,,,91.93036651780051,134.2580833493566,,,,19.136812922818223,0.9560273658997868
5,7e222a7,2014,51966.193263534115,,1582.7680053852087,,230945.21802033056,256353.86495438387,3.918415010093657,65.21897867118554,249411.49674936113,1847782.379097722,1607201.7313452538,3.203028951277656,,,,16718.781819891643,29.361234217111775,,0.6582882261982458,59.66099353266318,,,3.880810944717195,,,,,,,41.459807491912954,92.64385363960093,59.64087595953606,13.44081362135737,2.9681391554358503,0.16705151439138408,0.3048540496946169,89.72841744755004,5184.563498868429,19.81782841625124,614744.5194999765,1.1349035351431318,15.250474994998237,0.17185534562079577
6,066b021,2007,47126.695392651134,98.27035404880498,2448.1120560414383,,4142.631737375366,142737.42775140173,3.4387552271893225,67.36704631389195,5178248.380168327,7158708.04742207,1893276.6756216076,2.128119535039323,114.39114891544557,51.13420847585749,21.824390462022887,1852.6735084282302,69.08880429915494,32.025690489963615,6.488161626242191,32.52226478248758,,20.041377274243914,5.947639532730515,30.957680943845517,,92.89477539866999,94.19266001243194,9.884698344820968,64.479927664776,93.7045424514895,66.04068129714793,33.46386474655203,7.74565695939446,0.7212606326878915,0.03934032495444121,,100.71125513702476,3197.955249287154,11.38832194758186,2693342.6562535833,,17.43431033706088,-0.7441498655490806
7,66b86bf,2000,55456.49513810402,18.014854007984393,2431.912942098525,,34131.5328816097,110392.36533270717,1.2366235756997777,70.49652596139856,2584442.6250748485,8077407.407962055,5588845.389754883,-0.49834195735044623,367.43825170029464,-17.255427697344796,5.98578041359983,8928.269190399053,42.33087243084681,,,,17.460830409536534,29.693705406929272,26.289885976524456,103.46430701467091,,95.40658435420858,96.00550945290078,40.76364789210632,42.61364054494144,86.39434725676225,100.35319326846826,24.349046874835032,17.927028536361597,0.0,,3.9344267430423248,99.6712568379595,43300.308222361935,16.298281244489196,3415826.9210139215,2.622547460846482,10.829969962382513,0.3490503415724358
8,583201c,2010,156937.91096280413,0.7123542057826681,1789.017840488295,,93036.30748180716,224242.63541297638,4.250669227164532,61.76176216123148,12041221.751334773,24918630.95931928,12575699.271892373,2.561977323293671,268.68267149048154,26.022977071128985,17.305615474419334,3080.4589993848076,45.19581860617855,,5.392429207653776,68.33688317720487,13.502508379508763,13.677231586663266,9.411110761592571,58.93935201333862,70.29685844273442,,,14.730994414268785,63.123093319388126,13.750937066586339,84.18168166754799,50.350324858195336,8.6281010188759,19.41416090153639,0.090388535468182,,65.72473414257342,10046.847651708887,5.3271460025175825,11501322.089596521,0.37355420181915394,8.2599585292263,0.019875232630891783
9,0ea781c,2009,343.54032392091756,,,0.0,1719.216388135696,2774.1522022862237,4.444528920899289,72.92440956802078,145055.94779680044,186003.95428337235,36932.462594570636,0.7038699266122592,270.2434678185151,,121.88955268677137,5507.905054230409,50.9067557735532,,14.207248329071081,407.1302326515715,,43.93093279951195,8.14620430164255,45.50010911978637,,,99.72336883338309,48.46535027921238,28.45687324190695,93.28467909101074,97.40750718574712,23.031459615030506,41.2261037505237,0.07933751044285381,,,96.15875035393233,189.00669937868633,3.9038217357214537,37747.851375109225,,8.326756647748663,0.9803872040666078
